alias,冲突数,field_id,standard_name,所属Concept,来源类型
成交量,7,FIELD_INDEX_VOL,成交量,CONCEPT_MARKET_INDEX,standard_name
成交量,7,FIELD_QUOTE_VOL,成交量,CONCEPT_REALTIME_QUOTE,standard_name
成交量,7,FIELD_KLINE_VOL,成交量,CONCEPT_HISTORICAL_KLINE,standard_name
成交量,7,FIELD_FUT_VOL,成交量,CONCEPT_FUTURES,standard_name
成交量,7,FIELD_FUT_DETAIL_VOL,成交量,CONCEPT_FUTURES_DETAIL,standard_name
成交量,7,FIELD_CB_VOL,成交量,CONCEPT_CONVERTIBLE_BOND,standard_name
成交量,7,FIELD_FUND_VOL,成交量,CONCEPT_FUND_ETF,standard_name
日期,7,FIELD_KLINE_DATE,日期,CONCEPT_HISTORICAL_KLINE,standard_name
日期,7,FIELD_FLOW_DATE,日期,CONCEPT_FUND_FLOW,standard_name
日期,7,FIELD_NORTH_DATE,日期,CONCEPT_NORTHBOUND,standard_name
日期,7,FIELD_MARGIN_DATE,日期,CONCEPT_MARGIN,standard_name
日期,7,FIELD_LIMIT_DATE,日期,CONCEPT_LIMIT_UP_DOWN,standard_name
日期,7,FIELD_RATE_DATE,日期,CONCEPT_INTEREST_RATE,standard_name
日期,7,FIELD_BOND_CURVE_DATE,日期,CONCEPT_BOND_YIELD_CURVE,standard_name
涨跌幅,6,FIELD_INDEX_PCT_CHG,涨跌幅,CONCEPT_MARKET_INDEX,standard_name
涨跌幅,6,FIELD_LHB_PCT_CHG,涨跌幅,CONCEPT_LHB_BLOCKTRADE,standard_name
涨跌幅,6,FIELD_QUOTE_PCT_CHG,涨跌幅,CONCEPT_REALTIME_QUOTE,standard_name
涨跌幅,6,FIELD_KLINE_PCT_CHG,涨跌幅,CONCEPT_HISTORICAL_KLINE,standard_name
涨跌幅,6,FIELD_CB_PCT_CHG,涨跌幅,CONCEPT_CONVERTIBLE_BOND,standard_name
涨跌幅,6,FIELD_FUND_PCT_CHG,涨跌幅,CONCEPT_FUND_ETF,standard_name
开盘价,6,FIELD_INDEX_OPEN,开盘价,CONCEPT_MARKET_INDEX,standard_name
开盘价,6,FIELD_QUOTE_OPEN,开盘价,CONCEPT_REALTIME_QUOTE,standard_name
开盘价,6,FIELD_KLINE_OPEN,开盘价,CONCEPT_HISTORICAL_KLINE,standard_name
开盘价,6,FIELD_FUT_OPEN,开盘价,CONCEPT_FUTURES,standard_name
开盘价,6,FIELD_CB_OPEN,开盘价,CONCEPT_CONVERTIBLE_BOND,standard_name
开盘价,6,FIELD_FUND_OPEN,开盘价,CONCEPT_FUND_ETF,standard_name
成交额,6,FIELD_INDEX_AMOUNT,成交额,CONCEPT_MARKET_INDEX,standard_name
成交额,6,FIELD_QUOTE_AMOUNT,成交额,CONCEPT_REALTIME_QUOTE,standard_name
成交额,6,FIELD_KLINE_AMOUNT,成交额,CONCEPT_HISTORICAL_KLINE,standard_name
成交额,6,FIELD_FUT_AMOUNT,成交额,CONCEPT_FUTURES,standard_name
成交额,6,FIELD_CB_AMOUNT,成交额,CONCEPT_CONVERTIBLE_BOND,standard_name
成交额,6,FIELD_FUND_AMOUNT,成交额,CONCEPT_FUND_ETF,standard_name
最高价,5,FIELD_QUOTE_HIGH,最高价,CONCEPT_REALTIME_QUOTE,standard_name
最高价,5,FIELD_KLINE_HIGH,最高价,CONCEPT_HISTORICAL_KLINE,standard_name
最高价,5,FIELD_FUT_HIGH,最高价,CONCEPT_FUTURES,standard_name
最高价,5,FIELD_CB_HIGH,最高价,CONCEPT_CONVERTIBLE_BOND,standard_name
最高价,5,FIELD_FUND_HIGH,最高价,CONCEPT_FUND_ETF,standard_name
最低价,5,FIELD_QUOTE_LOW,最低价,CONCEPT_REALTIME_QUOTE,standard_name
最低价,5,FIELD_KLINE_LOW,最低价,CONCEPT_HISTORICAL_KLINE,standard_name
