id,standard_name,alias,description,data_type,unit,authority_level,refresh_time,default_datasource_id,belongs_to_concept
FIELD_INDEX_NAME,指数名称,[],指数的中文名称,string,—,A,weekly,DS_TUSHARE_INDEX_BASIC,CONCEPT_MARKET_INDEX
FIELD_INDEX_CODE,指数代码,[],指数TS代码,string,—,A,weekly,DS_TUSHARE_INDEX_BASIC,CONCEPT_MARKET_INDEX
FIELD_INDEX_PRICE,当前点位,[],指数收盘点位,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_PCT_CHG,涨跌幅,[],指数涨跌幅百分比,float,%,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_CHG,涨跌额,[],指数涨跌点数,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_HIGH,最高点,[],当日最高点位,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_LOW,最低点,[],当日最低点位,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_OPEN,开盘价,[],当日开盘点位,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_PRE_CLOSE,昨日收盘,[],前一交易日收盘点位,float,点,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_VOL,成交量,[],指数成交量（手）,float,手,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_AMOUNT,成交额,[],指数成交额（千元）,float,千元,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_SWING,振幅,[],指数当日振幅,float,%,A,daily_17:00,DS_TUSHARE_INDEX_DAILY,CONCEPT_MARKET_INDEX
FIELD_INDEX_TOTAL_MV,总市值,[],指数成分股总市值,float,亿元,A,daily_17:00,DS_TUSHARE_INDEX_DB,CONCEPT_MARKET_INDEX
FIELD_INDEX_FLOAT_MV,流通市值,[],指数成分股流通市值,float,亿元,A,daily_17:00,DS_TUSHARE_INDEX_DB,CONCEPT_MARKET_INDEX
FIELD_INDEX_PE,市盈率,[],指数成分股加权市盈率,float,倍,A,daily_17:00,DS_TUSHARE_INDEX_DB,CONCEPT_MARKET_INDEX
FIELD_INDEX_PB,市净率,[],指数成分股加权市净率,float,倍,A,daily_17:00,DS_TUSHARE_INDEX_DB,CONCEPT_MARKET_INDEX
FIELD_INDEX_TURNOVER,换手率,[],指数成分股换手率,float,%,A,daily_17:00,DS_TUSHARE_INDEX_DB,CONCEPT_MARKET_INDEX
FIELD_MARKET_HEAT,市场热度,[],市场情绪综合热度0-100,int,—,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_MARKET_BALANCE,两市成交额,[],沪深两市合计成交额,float,亿元,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_MARKET_UP_RATIO,上涨占比,[],上涨股票数量占比,float,%,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_MARKET_PROFIT_RATIO,赚钱效应,[],盈利股票占比,float,%,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_LIMIT_UP_COUNT,涨停家数,[],当日涨停股票数量,int,家,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_LIMIT_DOWN_COUNT,跌停家数,[],当日跌停股票数量,int,家,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_LIMIT_UP_BOARD,涨停梯队,[],一板/二板/三板及以上数量,string,—,B,intraday,DS_LEVISTOCK_EMOTION,CONCEPT_MARKET_SENTIMENT
FIELD_NEWS_TITLE,快讯标题,[],财经快讯标题,string,—,A,realtime,DS_LEVISTOCK_NEWS,CONCEPT_MARKET_SENTIMENT
FIELD_NEWS_CONTENT,快讯内容,[],财经快讯正文,string,—,A,realtime,DS_LEVISTOCK_NEWS,CONCEPT_MARKET_SENTIMENT
FIELD_NEWS_TIME,快讯时间,[],快讯发布时间,date,—,A,realtime,DS_LEVISTOCK_NEWS,CONCEPT_MARKET_SENTIMENT
FIELD_UP_COUNT,上涨家数,[],板块内上涨股票数量,int,家,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_MARKET_SENTIMENT
FIELD_DOWN_COUNT,下跌家数,[],板块内下跌股票数量,int,家,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_MARKET_SENTIMENT
FIELD_SECTOR_NAME,板块名称,[],行业/概念板块名称,string,—,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_CODE,板块代码,[],板块代码（如BK0441）,string,—,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_PRICE,板块指数,[],板块当前指数点位,float,点,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_PCT_CHG,板块涨跌幅,[],板块指数涨跌幅,float,%,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_AMOUNT,板块成交额,[],板块当日成交额,float,亿元,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_TURNOVER,板块换手率,[],板块成分股加权换手率,float,%,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_AMPLITUDE,板块振幅,[],板块指数振幅,float,%,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_LEAD_STOCK,领涨股名称,[],板块内涨幅最大股票名称,string,—,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_LEAD_CODE,领涨股代码,[],领涨股股票代码,string,—,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_LEAD_CHG,领涨股涨幅,[],领涨股当日涨跌幅,float,%,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
