qualified,出现次数,field_id,standard_name,concept_id,simple
交易日期,5,FIELD_KLINE_DATE,日期,CONCEPT_HISTORICAL_KLINE,日期
交易日期,5,FIELD_FLOW_DATE,日期,CONCEPT_FUND_FLOW,日期
交易日期,5,FIELD_NORTH_DATE,日期,CONCEPT_NORTHBOUND,日期
交易日期,5,FIELD_MARGIN_DATE,日期,CONCEPT_MARGIN,日期
交易日期,5,FIELD_LIMIT_DATE,日期,CONCEPT_LIMIT_UP_DOWN,日期
温州利率,4,FIELD_RATE_WZ_1M,温州1月期利率,CONCEPT_INTEREST_RATE,温州1月期利率
温州利率,4,FIELD_RATE_WZ_3M,温州3月期利率,CONCEPT_INTEREST_RATE,温州3月期利率
温州利率,4,FIELD_RATE_WZ_6M,温州6月期利率,CONCEPT_INTEREST_RATE,温州6月期利率
温州利率,4,FIELD_RATE_WZ_12M,温州12月期利率,CONCEPT_INTEREST_RATE,温州12月期利率
广民间利率,4,FIELD_RATE_GZ_1M,广州1月期利率,CONCEPT_INTEREST_RATE,广州1月期利率
广民间利率,4,FIELD_RATE_GZ_3M,广州3月期利率,CONCEPT_INTEREST_RATE,广州3月期利率
广民间利率,4,FIELD_RATE_GZ_6M,广州6月期利率,CONCEPT_INTEREST_RATE,广州6月期利率
广民间利率,4,FIELD_RATE_GZ_12M,广州12月期利率,CONCEPT_INTEREST_RATE,广州12月期利率
香港同业拆借利率,4,FIELD_RATE_HIBOR_ON,Hibor隔夜,CONCEPT_INTEREST_RATE,Hibor隔夜
香港同业拆借利率,4,FIELD_RATE_HIBOR_1W,Hibor1周,CONCEPT_INTEREST_RATE,Hibor1周
香港同业拆借利率,4,FIELD_RATE_HIBOR_1M,Hibor1月,CONCEPT_INTEREST_RATE,Hibor1月
香港同业拆借利率,4,FIELD_RATE_HIBOR_3M,Hibor3月,CONCEPT_INTEREST_RATE,Hibor3月
披露日期,3,FIELD_HOLDER_ANN_DATE,公告日期,CONCEPT_TOP_HOLDERS,公告日期
披露日期,3,FIELD_ANNOUNCE_DATE,公告时间,CONCEPT_ANNOUNCEMENT,公告时间
披露日期,3,FIELD_TRADE_ANN_DATE,公告日期,CONCEPT_PLEDGE_HOLDER_TRADE,公告日期
美债短端,3,FIELD_MACRO_US_1M,美债1月期收益率,CONCEPT_MACRO_ECONOMY,美债1月期
美债短端,3,FIELD_MACRO_US_3M,美债3月期收益率,CONCEPT_MACRO_ECONOMY,美债3月期
美债短端,3,FIELD_MACRO_US_6M,美债6月期收益率,CONCEPT_MACRO_ECONOMY,美债6月期
伦敦同业拆借利率,3,FIELD_MACRO_LIBOR_ON,Libor隔夜,CONCEPT_MACRO_ECONOMY,Libor隔夜
伦敦同业拆借利率,3,FIELD_MACRO_LIBOR_3M,Libor3月,CONCEPT_MACRO_ECONOMY,Libor3月
伦敦同业拆借利率,3,FIELD_MACRO_LIBOR_6M,Libor6月,CONCEPT_MACRO_ECONOMY,Libor6月
板块上涨家数,2,FIELD_UP_COUNT,上涨家数,CONCEPT_MARKET_SENTIMENT,上涨家数
板块上涨家数,2,FIELD_SECTOR_UP_COUNT,上涨家数,CONCEPT_SECTOR_REALTIME,上涨家数
行业内上涨股数,2,FIELD_UP_COUNT,上涨家数,CONCEPT_MARKET_SENTIMENT,上涨家数
行业内上涨股数,2,FIELD_SECTOR_UP_COUNT,上涨家数,CONCEPT_SECTOR_REALTIME,上涨家数
板块下跌家数,2,FIELD_DOWN_COUNT,下跌家数,CONCEPT_MARKET_SENTIMENT,下跌家数
板块下跌家数,2,FIELD_SECTOR_DOWN_COUNT,下跌家数,CONCEPT_SECTOR_REALTIME,下跌家数
行业内下跌股数,2,FIELD_DOWN_COUNT,下跌家数,CONCEPT_MARKET_SENTIMENT,下跌家数
行业内下跌股数,2,FIELD_SECTOR_DOWN_COUNT,下跌家数,CONCEPT_SECTOR_REALTIME,下跌家数
股票简称,2,FIELD_QUOTE_NAME,股票名称,CONCEPT_REALTIME_QUOTE,股票名称
股票简称,2,FIELD_PROFILE_NAME,股票简称,CONCEPT_COMPANY_PROFILE,股票简称
证券代码,2,FIELD_QUOTE_CODE,股票代码,CONCEPT_REALTIME_QUOTE,股票代码
证券代码,2,FIELD_PROFILE_CODE,股票代码,CONCEPT_COMPANY_PROFILE,股票代码
今日开盘,2,FIELD_QUOTE_OPEN,开盘价,CONCEPT_REALTIME_QUOTE,开盘价
今日开盘,2,FIELD_FUT_OPEN,开盘价,CONCEPT_FUTURES,开盘价
滚动市盈率,2,FIELD_PE_TTM,市盈率TTM,CONCEPT_REALTIME_QUOTE,市盈率
滚动市盈率,2,FIELD_VAL_PE_TTM,PE_TTM,CONCEPT_VALUATION_COMPARE,市盈率
PE_TTM,2,FIELD_PE_TTM,市盈率TTM,CONCEPT_REALTIME_QUOTE,市盈率
PE_TTM,2,FIELD_VAL_PE_TTM,PE_TTM,CONCEPT_VALUATION_COMPARE,市盈率
市净率,2,FIELD_PB,市净率,CONCEPT_REALTIME_QUOTE,市净率
市净率,2,FIELD_VAL_PB,PB,CONCEPT_VALUATION_COMPARE,市净率
PB,2,FIELD_PB,市净率,CONCEPT_REALTIME_QUOTE,市净率
PB,2,FIELD_VAL_PB,PB,CONCEPT_VALUATION_COMPARE,市净率
滚动市销率,2,FIELD_PS_TTM,市销率,CONCEPT_REALTIME_QUOTE,市销率
滚动市销率,2,FIELD_VAL_PS_TTM,PS_TTM,CONCEPT_VALUATION_COMPARE,市销率
PS_TTM,2,FIELD_PS_TTM,市销率,CONCEPT_REALTIME_QUOTE,市销率
PS_TTM,2,FIELD_VAL_PS_TTM,PS_TTM,CONCEPT_VALUATION_COMPARE,市销率
前收盘价,2,FIELD_KLINE_PRE_CLOSE,昨日收盘,CONCEPT_HISTORICAL_KLINE,昨日收盘
前收盘价,2,FIELD_FUT_PRE_CLOSE,昨收盘价,CONCEPT_FUTURES,昨收盘价
基本每股收益,2,FIELD_FIN_EPS,基本每股收益,CONCEPT_FINANCIAL_SUMMARY,基本每股收益
基本每股收益,2,FIELD_FS_BASIC_EPS,基本每股收益,CONCEPT_FINANCIAL_STATEMENTS,基本每股收益
EPS,2,FIELD_FIN_EPS,基本每股收益,CONCEPT_FINANCIAL_SUMMARY,基本每股收益
EPS,2,FIELD_FS_BASIC_EPS,基本每股收益,CONCEPT_FINANCIAL_STATEMENTS,基本每股收益
稀释每股收益,2,FIELD_FIN_DT_EPS,稀释每股收益,CONCEPT_FINANCIAL_SUMMARY,稀释每股收益
稀释每股收益,2,FIELD_FS_DILUTED_EPS,稀释每股收益,CONCEPT_FINANCIAL_STATEMENTS,稀释每股收益
稀释EPS,2,FIELD_FIN_DT_EPS,稀释每股收益,CONCEPT_FINANCIAL_SUMMARY,稀释每股收益
稀释EPS,2,FIELD_FS_DILUTED_EPS,稀释每股收益,CONCEPT_FINANCIAL_STATEMENTS,稀释每股收益
行业归属,2,FIELD_PROFILE_INDUSTRY,所属行业,CONCEPT_COMPANY_PROFILE,所属行业
行业归属,2,FIELD_LIMIT_SECTOR,所属行业,CONCEPT_LIMIT_UP_DOWN,所属行业
美债收益率,2,FIELD_MACRO_US_10Y,美债10年期收益率,CONCEPT_MACRO_ECONOMY,美债10年期
美债收益率,2,FIELD_MACRO_US_2Y,美债2年期收益率,CONCEPT_MACRO_ECONOMY,美债2年期
报价日期,2,FIELD_RATE_DATE,日期,CONCEPT_INTEREST_RATE,日期
报价日期,2,FIELD_FOREX_DATE,交易日期,CONCEPT_FOREX_MAJOR,交易日期
贷款基础利率,2,FIELD_RATE_LPR_1Y,LPR1年期,CONCEPT_INTEREST_RATE,LPR1年期
贷款基础利率,2,FIELD_RATE_LPR_5Y,LPR5年期,CONCEPT_INTEREST_RATE,LPR5年期
期货涨跌,2,FIELD_FUT_CHG1,涨跌1,CONCEPT_FUTURES,涨跌1
期货涨跌,2,FIELD_FUT_CHG2,涨跌2,CONCEPT_FUTURES,涨跌2
成交手数,2,FIELD_FUT_VOL,成交量,CONCEPT_FUTURES,成交量
成交手数,2,FIELD_CB_VOL,成交量,CONCEPT_CONVERTIBLE_BOND,成交量
成交金额,2,FIELD_FUT_AMOUNT,成交额,CONCEPT_FUTURES,成交额
成交金额,2,FIELD_CB_AMOUNT,成交额,CONCEPT_CONVERTIBLE_BOND,成交额
