id,name,protocol,execution_meta,authority_level,refresh_time,reliability_score,latency_ms,code_format,prompt_dir
DS_TUSHARE_DAILY,TuShare 日线行情,tushare,{},A,daily_17:00,0.95,,,
DS_TUSHARE_DAILY_BASIC,TuShare 每日指标,tushare,{},A,daily_17:00,0.95,,,
DS_TUSHARE_STK_LIMIT,TuShare 涨跌停价,tushare,{},A,intraday,0.95,,,
DS_TUSHARE_ADJ_FACTOR,TuShare 复权因子,tushare,{},A,daily_17:00,0.95,,,
DS_TUSHARE_STK_FACTOR,TuShare 技术面因子,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_INDEX_DAILY,TuShare 指数日线,tushare,{},A,daily_17:00,0.95,,,
DS_TUSHARE_INDEX_BASIC,TuShare 指数基础信息,tushare,{},A,weekly,0.95,,,
DS_TUSHARE_INDEX_DB,TuShare 指数每日指标,tushare,{},A,daily_17:00,0.95,,,
DS_TUSHARE_FINA_IND,TuShare 财务指标,tushare,{},A,quarterly,0.95,,,
DS_TUSHARE_INCOME,TuShare 利润表,tushare,{},A,quarterly,0.95,,,
DS_TUSHARE_BALANCE,TuShare 资产负债表,tushare,{},A,quarterly,0.95,,,
DS_TUSHARE_CASHFLOW,TuShare 现金流量表,tushare,{},A,quarterly,0.95,,,
DS_TUSHARE_MONEYFLOW,TuShare 个股资金流向,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_HSGT,TuShare 沪深港通资金流向,tushare,{},A,intraday,0.90,,,
DS_TUSHARE_HK_HOLD,TuShare 北向持股明细,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_HSGT_TOP10,TuShare 沪深港通十大成交,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_MARGIN,TuShare 融资融券,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_TOP_LIST,TuShare 龙虎榜,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_TOP_INST,TuShare 龙虎榜机构交易,tushare,{},A,daily_20:00,0.90,,,
